star,promotion,welfare,worklife,culture,ceo,merit,disadvantage
3,4,3,3,3,3,"1. 기업 고유의 문화
사내 임직원들이 고유의 문화를 만들고 정착시킬 수 있도록 신경쓰는게 티가 납니다.

2. 발빠르다
체계가 미진한 부분들도 존재하지만 단시간에 빠른 업무프로세스를 만들어 리드하는 모습이 인상깊었습니다.

3. 수평적 문화(각 팀마다 다름)
직급 문화가 없어 위아래가 서로 존중할 수 있는 분위기가 형성됩니다. 일부 팀에서 다를 수 있습니다.","1. 장벽
소통의 장벽, 업무적 장벽이 있습니다. 왜 일을 이렇게 까지 확인받고 돌아가야 하는 것 인지, 디테일에 매몰되는 것이 아닌지 의아했습니다.

2. 모두가 누릴 수 없다.
위의 기재 했던 장점 사항들은 모두가 누릴 수 없습니다. 팀별로 양음의 관계가 확실합니다."
1,2,2,3,3,2,"깨끗한 인테리어
무료 음료수와 커피
회사 위치가 좋아서 출퇴근 편함","겉으로는 열린 조직 문화를 보여준다면서
속으로는 갑질하는 회사
직원들을 하나의 부속품으로 생각한다

오피스가 다 개방형이라서 누가 자꾸 감시하는거같은 느낌적인 느낌으로 꽤 불편하다

왜때문에 퇴근할때 굳이 노트북 다 치워야는지 이해가 안감"
5,5,4,5,5,4,일 말고 개인적인 잉여로움이나 나태함 없이 집중해서 일 하다 보니 업무시간 집중도도 올라가고 소위 칼퇴가 가능해요! 칼퇴가 목적이 아니라 직원간 업무연락도 좋고 솔직하게 이야기 나누다 보니 의사결정도 빠릅니다.,너무 타이트하지 않나 싶을때가 있음. 모든 회사가 그렇지만 탑관리자의 의사결정이 100프로 전달되지는 않는듯. 급여수준은 캐바캐 겠지만 저로서는 다소 아쉽
1,2,1,4,1,2,"눈치 안보고 연차 쓸수있음
냉장고에 음료수가 있음
맥심 뿐만 아니라 카누도 있음
워라밸 괜찮은편
예쁜 회사 인테리어","권력자의 말에 동의하지 않으면 빨갱이 취급당하는 회사
직원들 얼평이나 하고 다니는 몇몇 임직원/월급루팡
출근 시간에 회의을 잡아 회의 준비로 인해 강제로 조기 출근할수밖에 없게 만드는 문화
명색이 IT기업임에도 불구하고 느린 인터넷. 짠돌st.
대기업의 쓸데없는 보고 문화, 스타트업의 낮은 연봉, 외국계 기업의 스마트 워크 플레이스? 도입으로 출퇴근 때 내 컴퓨터를 사물함에 넣고 다녀야하는 불편한 업무 환경 등등 남들이 하는 안 좋은/비효율적인 거 다 따라 하는 회사ㅋㅋㅋ"
3,3,3,3,3,3,스타트업으로 시작하여 여느 회사처럼 꼰대문화는 많지 않으며 생각이 젊어 다양한 시도를 할 수 있다,마찬가지로 스타트업으로 시작하여 체계화된 것이 없고 주먹구구식으로 일하는것들이 생김
4,3,3,4,5,3,"야근이 거의 없고, 눈치없이 연차 사용, 의견 제시 모두 자유롭게 할 수 있다. 물론 모든 의견이 다 받아들여지는것은 아닙니다 ㅎㅎ 그래도 대부분의 팀원들이 불만없는 합리적인 의사결정의 프로세스를 거치는 편이다. 사내 분위기는 정말 활기차고 자유로운 편!","회사 규모가 커짐에 따라, 비효율적인 업무가 생겨나기 시작함. 형식상 in charge , 즉 모든 결정은 결국 해당 담당자가 하는 업무 방식을 지향하지만, 실상은 그렇지 않음."
4,4,4,5,4,4,"자유로운 분위기, 서로 존중해준다.
의사결정 빠르고 바로 실행하는 분위기
일을 빠르게 많이 해볼 수 있고 그를 통해 성장 가능 하다.
개발자인데도 야근 별로 안하고 칼퇴할 수 있는 분위기이다. 연차도 자유롭게 쓸 수 있다.","성장하는 곳이다보니 개인이 책임지고 수행해야하는 일이 많음
커나가는 과정이다보니 프로세스나 의사결정 과정에서 체계가 안잡힌 것 있다."
4,4,4,4,2,5,"의지만 있으면 바쁘게 배울 게 많은 편, 리프레시 휴가",시스템이 갖추어져있지 않아 의외의 불합리함읗 만날 수 있음. 의사결정이라든가 복지라든가
3,3,3,3,3,3,"업계 1위 기업으로 성장 가능성 높음, 회사 위치가 좋음, 복지가 좋은 편이고 칼퇴가 가능함.","수직적인 부분이 많이 있고, 업무에 대한 체계적인 기준이 없음."
1,1,1,5,1,1,"사무실 교통이 편하다
사무실 인테리어 예쁘게 꾸며둠
칼출퇴가 가능함","이상한 회계법인 인차지문화 가져와서 하는데 말로만 인차지고 권한은 없음 시키는대로만 해야 하는 회사면서 왜 인차지 인차지 하는지 이해안감
구시대적 마인드
일부 경영진의 근거없는 자신감 심각함
스타트업치고 맨파워가 약함
매우 비효율적인 업무프로세스"
4,3,3,4,3,4,"사무실 위치, 인테리어
업무 관련 배울 사람들 많음
분위기 좋음
서로 협조 잘해줌","팀마다 분위기가 많이 다르다
분위기랑 안맞으면 힘들듯
프로세스가 아직 정립 안됨"
1,1,2,3,1,4,"업계 1등이다.
이젠 갑이다. 그리고 ceo가 비상하다.","직원들은 커리어를 쌓는다는 느낌보다는
잠시 찍어 쉬어가는 휴게소느낌으로 일한다.
열정을 가진이가 몇이나 될까.
회사가 할일은 아니지만 미래를 제안해주지 못한다."
2,4,2,3,2,4,"재미있는 사람들이 많은 듯
다들 열심히 함
CEO의 마인드가 상당히 좋음",보수적인지 않은듯 하지만 엄청 보수적이라 놀랄 것이며 상하가 없는 듯이 대하지만 상하가 너무 뚜렷함에 놀랄 것임
2,2,2,2,2,2,"종로에 있는 사무실, 깔끔하게 꾸며놓아서 좋음. 음료수 마음대로 먹어도 됨.
직급 문화없고 대표님한테도 님으로 호칭함. 양복보다는 세미양복이어도 되는 점
금요일에는 복장 캐쥬얼 가능","우선 뭐 복지는 좋다고 하는데 좋은지는 잘모르겠고 직급문화를 없애서 이름에다
님님 거리면서 존댓말은 쓰지만, 오히려 존댓말 쓰면서 엄청 딱딱하고 까칠하게 군다고 할까.. 같은 팀원들끼리는 괜찮은데, 팀장급 부터는 확실히 차이가 존대함
정치 잘하는 직원은 승진가능성 있음."
3,3,3,4,4,3,연차를 마음껏 쓸수있는 분위기와 다양한 시도를 통한 배움이 존재하는 회사,사람에 따라 팀마다 분위기가 너무 다르다는 점이 있어 선택을 잘해야함
5,5,5,5,4,5,"현 부동산 중개업에서 단연 1등을 유지, 안심 중개사를 도입함으로써 안정성 확보","설립된지 얼마 안되어 체계적인 인사제도 확립 아님.
채용 시 경력직을 많이 뽑는 경향이 있음."
2,3,3,3,1,3,일단 저는 지방근무를했는데 호텔 숙박과 아침 점심 저녁모두 식비를 지원해줬습니다. 물론 교통비와 통신비도 지원해주었고요 계약직이었지만 복지가 좋다는 느낌을 많이 받았습니다.,저는 아파트사업부분 현장인력으로 계약기간을 정해놓고 근무했습니다. 그때 느낀점은 자유로운 분위기를 위해서 인지 몰라도 호칭에 직급을 없앴다곤 하는데 저를 담당했던 매니저들은 기본 명령조에 계약직요원들을 하인부리듯 하였고 업무가 끝나고 숙소에서도 오후9시 이후로는 외출을 하지 말라는 등 업무 외 시간도 부당하게 통제를 했습니다. 말단 사원들의 인성이 이러한데 윗물이라고 맑을것이라 생각이 들지 않습니다. 특히 계약직 사원이라고 하대하는 부분이 정신적으로 힘들었습니다. 또한 개인에게 주어진 업무량이 너무 방대하고 교육체계가 많이 부실합니다. 이상 단기로 근무할 때 보고 느낀점들입니다.
3,3,3,3,3,3,"수평적인 사무실 분위기, 연차 및 휴가를 눈지보지 않고 자유롭게 사용가능한 기업
업무외에도 자기 개발을 위한 지원금이 있어 배울 수 있음","단순 보고를 위한 보서를 만들어야 해서 비효율적인 업무
파티션이 없어 너무 공개된 장소에서 업무를 해야 하는 불편함"
4,3,4,3,4,4,개발자를 우대하는 문화가 있습니다. 일은 많지만 배우며 인 하우스 프로덕트를 개발해 좋습니다,광고의 한계가 슬슬 보이는듯 합니다. 유저수 증가율을 높일 새로운 채널을 찾아야 할 듯 합니다
3,3,4,5,4,3,"1. 전 구성원이 자신의 일에 대하여 프로의식이 있음
2. 조직 문화의 아이덴티티가 분명함
3. 복지나 처우가 합리적임
4. 전 구성원에 대한 비젼 공유가 확실함.
5. 불필요한 야근 절대 없음.
6. 신입이라 할지라도 자신의 업무에서 PM으로 일할 수 있도록 책임과 권한부여가 확실함.
7. 조직문화가 대기업에 비해 훨씬 유연함.
8. 직급이 팀장을 제외하고 없음 (비교적 수평적인 의사결정이 가능)","1. 스타트업으로 생각하기에는 경직된 문화와 업무 분위기
2. 마찬가지로 스타트업으로 생각하기에는 비교적 수직적인 의사결정 구조
3. 기업의 네임벨류에 비해 낮은 연봉
4. 몇몇 구성원들의 신경질적인 업무 태도"
3,3,3,3,3,3,경력쌓아놓으면 쓸데가 많음. 일은 많지만 배울수 있는 곳인듯한 장점,업무량이 많은편. 사원들간의 교류가 매우 중요하고 분위기에 따라 좌우되는게 많다
1,5,3,4,2,2,"폭발적으로 성장하는 기업이면서도 사업확장을 할때는 내부직원을 이용하기 때문에 다양한 기회를 접하기 좋음.
상당히 수평적인 ""분위기"".
스타트업/중소기업 업계 대비 높은 연봉.","입사 당시에는 영업이 아닌 정책을 판매한다고 말하고 영업조직이라는건 없다고 했으나 자신들이 하고싶은 말을 할때는 영업조직이기때문에 이러이러해야한다고 말함. 영업조직이라는 이유로 같은 회사에 있으면서도 복장, 출퇴근, 분위기가 천지차이임.
작년까지만 해도 그렇지 않았으나 갑자기 인원이 늘어난 올해부터 복장 및 태도에 대한 지적이 많아져 팀내 직원들의 불만이 조금씩 쌓여가고 있음."
3,3,3,5,4,4,"업계 1위 스타트업, 명석한 경영진, 수평적으로 보이는 조직문화, 분위기는 확실히 좋음, 회사 미래가 밝아보임","팀별로 차이를 느낄 수 있음, 업무 진행하는 과정이 주먹구구식"
3,2,3,3,2,3,성장 중인 스타트업이라는 점. 스타트업치고는 안정성이 꽤나 크다는 점. 모두가 엄청나게 업무에 몰두하고 있는 분위기.,안정성이 있어도 스타트업은 불안할 수밖에 없다는 점. 수평적인 구조이지만 생각보다는 자유롭지 않다는 점. 모두가 너무 업무에 몰두하여 개인적인 친분을 쌓을 수는 없다는 점.
2,2,2,3,3,2,복장의 자유로움과 회사 분위기 자체는 따로 업무감시를 하지는 않음. 통제가 많은 편음 아님.,정치를 하려는 사람들이 나타남. 일의 능력보다는 친분으로 회사생활을 하려는 사람들이 있음. 개인의 행복과 회사의 성장을 추구하지만 결국에는 회사의 성장만 남는듯한 느낌
3,4,4,4,4,4,복지가 좋으며 업무관리가 체계적이기 때문에 일하기에 편하다,"성장가능성이 크지만 생각보다는 안정적이지 않다.
평생직장이라고 생각하면 오산"
2,3,2,4,3,2,연차 사용 비교적 자유로움. 개인의 성과보다는 전체의 성과를 중시하는 기업 문화. 비교적 저녁 있는 삶.,"영업팀은 정해진 기간 내에만 연차 가능. 겉으로 보기에 혁신적인 복지 제도들의 실상을 알고 보면 김새는 경우 있음. 기업 가치가 뻥튀기된 면이 다소 있고, 성장 정체기임에도 사업 확장에 대한 추진력이 부족함."
3,4,3,3,4,3,"스타트업이라 수평적인 구조, 빠른 성장이 돋보입니다
회사와 함께 커갈 수 있는 분위기","많은 업무 정도 회사가 나에게 바라는 점이 많다
젋은 연령대의 직원들로 인해 체계가 좀 안잡혀있는 느낌
팀마다 사람간의 트러블 존재함"
1,1,3,4,1,1,"공무원처럼 조용조용하게 다닐수있음.
그래도 모름 전혀.
신경을 안씀",철저한 위계 질서아래 실무자들도 리드가 아니면 최소한의 의견조차 낼 수 없음.
5,5,4,5,5,5,"1. 야근을 기피하는 문화

2. 인센티브제가 아닌 공동 성과 시스템은 책임 전가 문화 또는 성과 가로채기 를 없게 해줌","1. 생긴지 얼마 안 되어 시스템이나 조직 체계가 다소 미흡함

2. 직급이 없기 때문에 처음에 적응하기가 살짝 어색하고 어려움

3."
5,4,5,4,5,5,스타트업 업계에서 가장 빠르게 성장하는 회사 중 하나입니다. 님 자를 쓰는 수평적인 분위기 정말 좋고요 자신의 성장을 제일 중요한 가치로 생각하는 회사입니다,장점일수도 있고 단점일 수도 있는데 각자에게 권한이 확실하게 주어지는데 이를 뒷받침하는 교육은 부족하며 개인이 맞춰서 성장해야 합니다.
4,5,4,4,5,5,"직급 체계 자체가 없고, 상호 평등한 관계로 일할 수 있다. 젊은 사람들로 이뤄진 기업이라 일명 꼰대가 없어서 일하기 편하다.",대기업이랑 비교하면 월급은 짜다. 그리고 설이나 추석 때 빠방한 상여금도 없음. 상품권크리..
5,3,5,5,5,5,의사결정 과정에서 구성원의 의견을 최대한 반영하고자 노력,성장에 따른 프로세스가 아직 완벽하게 갖추어지지는 않은 상태
2,2,2,5,3,3,1위 기업의 자부심을 느낄 수 있습니다. 스타트업 답지 않은 스타트업!,아직 체계를 잡아나가는 단계여서 그런지 비효율/비합리적인 부분이 있습니다
5,4,4,5,5,4,"사원들의 복지가 잘 제공된다, 사무실내에 나오는 음악은 업무 환경에 큰 도움이 된다. 회사내에 인테리어 매우 좋다. 전반적으로 일하기 좋은 분위기다.","거의 없다고 생각,
회사의 직급 체계가 확실하지않아 호칭의 불편함이 있었지만 적응이 빠르게됨"
4,4,4,3,4,5,여러종류의 음료수와 커피를 마음껏 먹을 수 있으며 회사 분위기 또한 항상 밝고 에너지가 넘칩니다.,업무 특성상 이례적인 일과 변경되는 사항들이 많아서 항상 수시로 체크를 해야합니다.
4,4,2,4,3,4,기업의 성장과 함께 나 자신도 동반성장을 느낄수 있는 현재 진행형 회사,비교적 단기간에 성장을 한 회사이기 때문에 인사 및 내부 시스템이 체계적이지 못한 느낌
5,4,4,4,5,5,편안한 업무 환경에서 모두 즐겁게 일할수있어서 좋아요. 벤처회사라 의사반영도 잘되고 변화가 많아 재미있습니다.,타부서와의 소통에 문제가 있는거 같아요. 협력이 잘안되는................
5,4,4,5,4,4,탄력적이라는 말을 많이 들어보셨겠지만 이곳은 절대 노노 본인이 해나가는 거에서 스스로 찾아서 할수있는 분위기 이기때문에 일을 함에있어 즐겁습니다 그리고 어느회사보다 빠르게 성장해나가기 때문에 더 열정을 느끼며 일할수 있고 회사후 봄인 자기개발을 위해 교육비도 지원해주는거에대해서 짱짱맨,서열 계급 이란게 없기때문에 그런곳에 익숙하신분들은 의아해 하실수도 있다???
5,5,4,5,5,5,"꼰대 문화 없습니다. 대표님도 신입사원에게 고개 숙여 인사하는 곳
야근 지양 문화로 일과 삶의 밸런스를 충족시킬 수 있음
눈치 야근, 눈치 퇴근 없습니다.
회사를 수단으로 생각하며 자기 자신의 성장을 위할 수 있는 곳.
무료 음료와 커피
일하다가 청계천가서 머리식힐 수 있는 배려있는 곳.
좋은 사람들, 기본적으로 가장 중요한 인간관계를 좋은 사람들과
함께할 수 있는 곳.
레슨비 체력단련비 지급
업계에서 인정받는 최초,최대,최고의 스타트업","일 잘해야 합니다. 대세에 편승해가려는 스타일인 분들께는 어울리지 않는 곳.
기본적으로 스타트업은 프로들이 모여 하나의 목표에 집중하는 곳이라 뒤쳐지거나 도태되면 불안할 수도 있어요.
동호회 등 팀끼리 상호 소통할 수 있는 기회가 적어 아쉽습니다."
4,4,3,4,4,4,"수평적 분위기, 젊고 생동감 넘치는 회사. 동기부여기되는 회사 분위기.","아직 투자를 받고 있는 상황이고, 지속적인 수익구조가 필요한 상황이다."
5,5,4,5,5,5,"부동산 업계 1위, 다운로드 천만 앱, 젊은 구성원들의 꿈터, 여유있는 출근시간과 저녁이 있는 퇴근시간",늘어나는 구성원들로 인해 언젠가는 사무실이 좁아질 수도 있겠다는 걱정
4,5,2,4,4,5,"수평적인 분위기, 쾌적한 사무공간, 교통이 편리함,배울 점이 많음, 야근이 거의 없음, 회사의 룰만 잘 따른다면 개개인의 성과에 연연하지 않아도 됨, 소수의 의견도 존중 받을 수 있음","개개인의 공백이 커서 자리를 비우기가 쉽지 않음, 업무환경(제도적/시스템적 측면)의 안정성이 더 필요함"
2,4,2,1,2,2,"1. 교육기간이 짧아 실전배치가 빠르다(신규도 뽑지만 대부분 경력이 있거나 요구됨)
2. 워크앤라이프 밸런스 중요시
3. 술 강요 회식문화 지양
4. 수평적인 기업문화 및 상호존칭","1. 부서 간 커뮤니케이션이 부족 한 편이고, 전사차원으로 부서간 교류 할 수 있는 기회가 적다
2. 복지적은 대기업 분위기"
